Code,Wards (2016),Health Indicator,value
E05009380,Lea Bridge; Hackney,Incidence of prostate cancer,124.9
E05009381,London Fields; Hackney,Incidence of prostate cancer,128.5
E05009382,Shacklewell; Hackney,Incidence of prostate cancer,139.2
E05009383,Springfield; Hackney,Incidence of prostate cancer,93.9
E05009384,Stamford Hill West; Hackney,Incidence of prostate cancer,108.1
E05009385,Stoke Newington; Hackney,Incidence of prostate cancer,116.8
E05009386,Victoria; Hackney,Incidence of prostate cancer,129.9
E05009387,Woodberry Down; Hackney,Incidence of prostate cancer,109.5
E05009388,Abingdon; Kensington and Chelsea,Incidence of prostate cancer,82.3
E05009389,Brompton & Hans Town; Kensington and Chelsea,Incidence of prostate cancer,77.1
E05009390,Campden; Kensington and Chelsea,Incidence of prostate cancer,119.6
E05009391,Chelsea Riverside; Kensington and Chelsea,Incidence of prostate cancer,91.2
E05009392,Colville; Kensington and Chelsea,Incidence of prostate cancer,113.1
E05009393,Courtfield; Kensington and Chelsea,Incidence of prostate cancer,66.2
E05009394,Dalgarno; Kensington and Chelsea,Incidence of prostate cancer,91.4
E05009395,Earl's Court; Kensington and Chelsea,Incidence of prostate cancer,81.6
E05009396,Golborne; Kensington and Chelsea,Incidence of prostate cancer,88.0
E05009397,Holland; Kensington and Chelsea,Incidence of prostate cancer,75.7
E05009398,Norland; Kensington and Chelsea,Incidence of prostate cancer,110.0
E05009399,Notting Dale; Kensington and Chelsea,Incidence of prostate cancer,85.0
E05009400,Pembridge; Kensington and Chelsea,Incidence of prostate cancer,99.1
E05009401,Queen's Gate; Kensington and Chelsea,Incidence of prostate cancer,95.6
E05009402,Redcliffe; Kensington and Chelsea,Incidence of prostate cancer,65.6
E05009403,Royal Hospital; Kensington and Chelsea,Incidence of prostate cancer,83.9
E05009404,St. Helen's; Kensington and Chelsea,Incidence of prostate cancer,96.6
E05009405,Stanley; Kensington and Chelsea,Incidence of prostate cancer,96.1
E05000026,Abbey; Barking and Dagenham,Hospital stays for self harm,50.7
E05000027,Alibon; Barking and Dagenham,Hospital stays for self harm,71.1
E05000028,Becontree; Barking and Dagenham,Hospital stays for self harm,70.4
E05000029,Chadwell Heath; Barking and Dagenham,Hospital stays for self harm,82.4
E05000030,Eastbrook; Barking and Dagenham,Hospital stays for self harm,55.3
E05000031,Eastbury; Barking and Dagenham,Hospital stays for self harm,67.2
E05000032,Gascoigne; Barking and Dagenham,Hospital stays for self harm,72.0
E05000033,Goresbrook; Barking and Dagenham,Hospital stays for self harm,54.7
E05000034,Heath; Barking and Dagenham,Hospital stays for self harm,75.6
E05000035,Longbridge; Barking and Dagenham,Hospital stays for self harm,47.0
E05000036,Mayesbrook; Barking and Dagenham,Hospital stays for self harm,69.7
E05000037,Parsloes; Barking and Dagenham,Hospital stays for self harm,75.0
E05000038,River; Barking and Dagenham,Hospital stays for self harm,54.5
E05000039,Thames; Barking and Dagenham,Hospital stays for self harm,77.7
E05000040,Valence; Barking and Dagenham,Hospital stays for self harm,71.0
E05000041,Village; Barking and Dagenham,Hospital stays for self harm,69.7
E05000042,Whalebone; Barking and Dagenham,Hospital stays for self harm,70.1
E05000043,Brunswick Park; Barnet,Hospital stays for self harm,53.4
E05000044,Burnt Oak; Barnet,Hospital stays for self harm,66.2
E05000045,Childs Hill; Barnet,Hospital stays for self harm,31.9
E05000046,Colindale; Barnet,Hospital stays for self harm,46.2
E05000047,Coppetts; Barnet,Hospital stays for self harm,75.5
E05000048,East Barnet; Barnet,Hospital stays for self harm,69.2
E05000049,East Finchley; Barnet,Hospital stays for self harm,49.4
E05000050,Edgware; Barnet,Hospital stays for self harm,63.6
E05000051,Finchley Church End; Barnet,Hospital stays for self harm,38.2
E05000052,Garden Suburb; Barnet,Hospital stays for self harm,23.3
E05000053,Golders Green; Barnet,Hospital stays for self harm,35.1
E05000054,Hale; Barnet,Hospital stays for self harm,51.8
E05000055,Hendon; Barnet,Hospital stays for self harm,48.8
E05000056,High Barnet; Barnet,Hospital stays for self harm,53.4
E05000057,Mill Hill; Barnet,Hospital stays for self harm,53.4
E05000058,Oakleigh; Barnet,Hospital stays for self harm,43.6
E05000059,Totteridge; Barnet,Hospital stays for self harm,60.7
E05000060,Underhill; Barnet,Hospital stays for self harm,80.1
E05000061,West Finchley; Barnet,Hospital stays for self harm,49.2
E05000062,West Hendon; Barnet,Hospital stays for self harm,46.8
E05000063,Woodhouse; Barnet,Hospital stays for self harm,59.6
E05000064,Barnehurst; Bexley,Hospital stays for self harm,55.8
E05000065,Belvedere; Bexley,Hospital stays for self harm,47.4
E05000066,Blackfen and Lamorbey; Bexley,Hospital stays for self harm,28.4
E05000067,Blendon and Penhill; Bexley,Hospital stays for self harm,33.9
E05000068,Brampton; Bexley,Hospital stays for self harm,21.1
E05000069,Christchurch; Bexley,Hospital stays for self harm,24.7
E05000070,Colyers; Bexley,Hospital stays for self harm,62.8
E05000071,Crayford; Bexley,Hospital stays for self harm,81.9
E05000072,Cray Meadows; Bexley,Hospital stays for self harm,79.3
E05000073,Danson Park; Bexley,Hospital stays for self harm,25.0
E05000074,East Wickham; Bexley,Hospital stays for self harm,49.8
E05000075,Erith; Bexley,Hospital stays for self harm,53.3
E05000076,Falconwood and Welling; Bexley,Hospital stays for self harm,27.2
E05000077,Lesnes Abbey; Bexley,Hospital stays for self harm,45.4
E05000078,Longlands; Bexley,Hospital stays for self harm,33.9
E05000079,North End; Bexley,Hospital stays for self harm,89.1
E05000080,Northumberland Heath; Bexley,Hospital stays for self harm,48.1
E05000081,St Mary's; Bexley,Hospital stays for self harm,33.8
E05000082,St Michael's; Bexley,Hospital stays for self harm,32.8
E05000083,Sidcup; Bexley,Hospital stays for self harm,35.8
E05000084,Thamesmead East; Bexley,Hospital stays for self harm,42.7
E05000085,Alperton; Brent,Hospital stays for self harm,25.4
E05000086,Barnhill; Brent,Hospital stays for self harm,33.7
E05000087,Brondesbury Park; Brent,Hospital stays for self harm,33.6
E05000088,Dollis Hill; Brent,Hospital stays for self harm,32.8
E05000089,Dudden Hill; Brent,Hospital stays for self harm,32.3
E05000090,Fryent; Brent,Hospital stays for self harm,23.3
E05000091,Harlesden; Brent,Hospital stays for self harm,33.9
E05000092,Kensal Green; Brent,Hospital stays for self harm,28.0
E05000093,Kenton; Brent,Hospital stays for self harm,14.3
E05000094,Kilburn; Brent,Hospital stays for self harm,32.8
E05000095,Mapesbury; Brent,Hospital stays for self harm,28.2
E05000096,Northwick Park; Brent,Hospital stays for self harm,25.4
E05000097,Preston; Brent,Hospital stays for self harm,28.2
E05000098,Queens Park; Brent,Hospital stays for self harm,25.0
E05000099,Queensbury; Brent,Hospital stays for self harm,24.4
E05000100,Stonebridge; Brent,Hospital stays for self harm,32.2
E05000101,Sudbury; Brent,Hospital stays for self harm,23.6
E05000102,Tokyngton; Brent,Hospital stays for self harm,32.4
E05000103,Welsh Harp; Brent,Hospital stays for self harm,34.9
E05000104,Wembley Central; Brent,Hospital stays for self harm,25.7
E05000105,Willesden Green; Brent,Hospital stays for self harm,26.4
E05000106,Bickley; Bromley,Hospital stays for self harm,38.3
E05000107,Biggin Hill; Bromley,Hospital stays for self harm,52.2
E05000108,Bromley Common and Keston; Bromley,Hospital stays for self harm,62.7
E05000109,Bromley Town; Bromley,Hospital stays for self harm,54.3
E05000110,Chelsfield and Pratts Bottom; Bromley,Hospital stays for self harm,37.2
E05000111,Chislehurst; Bromley,Hospital stays for self harm,35.8
E05000112,Clock House; Bromley,Hospital stays for self harm,54.4
E05000113,Copers Cope; Bromley,Hospital stays for self harm,40.3
E05000114,Cray Valley East; Bromley,Hospital stays for self harm,90.9
E05000115,Cray Valley West; Bromley,Hospital stays for self harm,83.0
E05000116,Crystal Palace; Bromley,Hospital stays for self harm,56.2
E05000117,Darwin; Bromley,Hospital stays for self harm,43.7
E05000118,Farnborough and Crofton; Bromley,Hospital stays for self harm,44.5
E05000119,Hayes and Coney Hall; Bromley,Hospital stays for self harm,59.5
E05000120,Kelsey and Eden Park; Bromley,Hospital stays for self harm,74.4
E05000121,Mottingham and Chislehurst North; Bromley,Hospital stays for self harm,76.4
E05000122,Orpington; Bromley,Hospital stays for self harm,55.4
E05000123,Penge and Cator; Bromley,Hospital stays for self harm,68.0
E05000124,Petts Wood and Knoll; Bromley,Hospital stays for self harm,40.3
E05000125,Plaistow and Sundridge; Bromley,Hospital stays for self harm,78.2
E05000126,Shortlands; Bromley,Hospital stays for self harm,40.8
E05000127,West Wickham; Bromley,Hospital stays for self harm,40.6
E05000128,Belsize; Camden,Hospital stays for self harm,37.2
E05000129,Bloomsbury; Camden,Hospital stays for self harm,19.8
E05000130,Camden Town with Primrose Hill; Camden,Hospital stays for self harm,40.1
E05000131,Cantelowes; Camden,Hospital stays for self harm,74.9
E05000132,Fortune Green; Camden,Hospital stays for self harm,50.1
E05000133,Frognal and Fitzjohns; Camden,Hospital stays for self harm,20.5
E05000134,Gospel Oak; Camden,Hospital stays for self harm,38.8
E05000135,Hampstead Town; Camden,Hospital stays for self harm,31.0
E05000136,Haverstock; Camden,Hospital stays for self harm,35.2
E05000137,Highgate; Camden,Hospital stays for self harm,74.7
E05000138,Holborn and Covent Garden; Camden,Hospital stays for self harm,43.8
E05000139,Kentish Town; Camden,Hospital stays for self harm,49.5
E05000140,Kilburn; Camden,Hospital stays for self harm,39.2
E05000141,King's Cross; Camden,Hospital stays for self harm,35.2
E05000142,Regent's Park; Camden,Hospital stays for self harm,39.0
E05000143,St Pancras and Somers Town; Camden,Hospital stays for self harm,47.5
E05000144,Swiss Cottage; Camden,Hospital stays for self harm,23.6
E05000145,West Hampstead; Camden,Hospital stays for self harm,23.3
E05000146,Addiscombe; Croydon,Hospital stays for self harm,69.1
E05000147,Ashburton; Croydon,Hospital stays for self harm,54.1
E05000148,Bensham Manor; Croydon,Hospital stays for self harm,80.5
E05000149,Broad Green; Croydon,Hospital stays for self harm,78.7
E05000150,Coulsdon East; Croydon,Hospital stays for self harm,90.9
E05000151,Coulsdon West; Croydon,Hospital stays for self harm,47.6
E05000152,Croham; Croydon,Hospital stays for self harm,68.8
E05000153,Fairfield; Croydon,Hospital stays for self harm,76.0
E05000154,Fieldway; Croydon,Hospital stays for self harm,88.9
E05000155,Heathfield; Croydon,Hospital stays for self harm,77.7
E05000156,Kenley; Croydon,Hospital stays for self harm,72.9
E05000157,New Addington; Croydon,Hospital stays for self harm,92.1
E05000158,Norbury; Croydon,Hospital stays for self harm,36.9
E05000159,Purley; Croydon,Hospital stays for self harm,66.0
E05000160,Sanderstead; Croydon,Hospital stays for self harm,48.1
E05000161,Selhurst; Croydon,Hospital stays for self harm,94.1
E05000162,Selsdon and Ballards; Croydon,Hospital stays for self harm,50.7
E05000163,Shirley; Croydon,Hospital stays for self harm,47.1
E05000164,South Norwood; Croydon,Hospital stays for self harm,82.5
E05000165,Thornton Heath; Croydon,Hospital stays for self harm,55.9
E05000166,Upper Norwood; Croydon,Hospital stays for self harm,51.3
E05000167,Waddon; Croydon,Hospital stays for self harm,76.5
E05000168,West Thornton; Croydon,Hospital stays for self harm,93.4
E05000169,Woodside; Croydon,Hospital stays for self harm,85.6
E05000170,Acton Central; Ealing,Hospital stays for self harm,49.9
E05000171,Cleveland; Ealing,Hospital stays for self harm,53.0
E05000172,Dormers Wells; Ealing,Hospital stays for self harm,64.8
E05000173,Ealing Broadway; Ealing,Hospital stays for self harm,59.1
E05000174,Ealing Common; Ealing,Hospital stays for self harm,61.7
E05000175,East Acton; Ealing,Hospital stays for self harm,40.5
E05000176,Elthorne; Ealing,Hospital stays for self harm,67.3
E05000177,Greenford Broadway; Ealing,Hospital stays for self harm,61.9
E05000178,Greenford Green; Ealing,Hospital stays for self harm,56.9
E05000179,Hanger Hill; Ealing,Hospital stays for self harm,53.1
E05000180,Hobbayne; Ealing,Hospital stays for self harm,85.4
E05000181,Lady Margaret; Ealing,Hospital stays for self harm,70.5
E05000182,Northfield; Ealing,Hospital stays for self harm,49.1
E05000183,North Greenford; Ealing,Hospital stays for self harm,44.3
E05000184,Northolt Mandeville; Ealing,Hospital stays for self harm,72.8
E05000185,Northolt West End; Ealing,Hospital stays for self harm,71.9
E05000186,Norwood Green; Ealing,Hospital stays for self harm,76.7
E05000187,Perivale; Ealing,Hospital stays for self harm,41.5
E05000188,South Acton; Ealing,Hospital stays for self harm,52.1
E05000189,Southall Broadway; Ealing,Hospital stays for self harm,73.8
E05000190,Southall Green; Ealing,Hospital stays for self harm,56.9
E05000191,Southfield; Ealing,Hospital stays for self harm,28.7
E05000192,Walpole; Ealing,Hospital stays for self harm,67.7
E05000193,Bowes; Enfield,Hospital stays for self harm,37.6
E05000194,Bush Hill Park; Enfield,Hospital stays for self harm,34.0
E05000195,Chase; Enfield,Hospital stays for self harm,38.4
E05000196,Cockfosters; Enfield,Hospital stays for self harm,32.4
E05000197,Edmonton Green; Enfield,Hospital stays for self harm,46.3
E05000198,Enfield Highway; Enfield,Hospital stays for self harm,34.4
E05000199,Enfield Lock; Enfield,Hospital stays for self harm,48.2
E05000200,Grange; Enfield,Hospital stays for self harm,37.1
E05000201,Haselbury; Enfield,Hospital stays for self harm,33.2
E05000202,Highlands; Enfield,Hospital stays for self harm,46.9
E05000203,Jubilee; Enfield,Hospital stays for self harm,42.5
E05000204,Lower Edmonton; Enfield,Hospital stays for self harm,40.8
E05000205,Palmers Green; Enfield,Hospital stays for self harm,37.8
E05000206,Ponders End; Enfield,Hospital stays for self harm,37.2
E05000207,Southbury; Enfield,Hospital stays for self harm,53.8
E05000208,Southgate; Enfield,Hospital stays for self harm,32.5
E05000209,Southgate Green; Enfield,Hospital stays for self harm,30.2
E05000210,Town; Enfield,Hospital stays for self harm,40.0
E05000211,Turkey Street; Enfield,Hospital stays for self harm,49.3
E05000212,Upper Edmonton; Enfield,Hospital stays for self harm,30.7
E05000213,Winchmore Hill; Enfield,Hospital stays for self harm,31.6
E05000214,Abbey Wood; Greenwich,Hospital stays for self harm,46.3
E05000215,Blackheath Westcombe; Greenwich,Hospital stays for self harm,39.1
E05000216,Charlton; Greenwich,Hospital stays for self harm,40.6
E05000217,Coldharbour and New Eltham; Greenwich,Hospital stays for self harm,42.2
E05000218,Eltham North; Greenwich,Hospital stays for self harm,43.3
E05000219,Eltham South; Greenwich,Hospital stays for self harm,50.6
E05000220,Eltham West; Greenwich,Hospital stays for self harm,53.5
E05000221,Glyndon; Greenwich,Hospital stays for self harm,57.2
E05000222,Greenwich West; Greenwich,Hospital stays for self harm,30.6
E05000223,Kidbrooke with Hornfair; Greenwich,Hospital stays for self harm,53.5
E05000224,Middle Park and Sutcliffe; Greenwich,Hospital stays for self harm,59.4
E05000225,Peninsula; Greenwich,Hospital stays for self harm,39.2
E05000226,Plumstead; Greenwich,Hospital stays for self harm,32.4
E05000227,Shooters Hill; Greenwich,Hospital stays for self harm,40.7
E05000228,Thamesmead Moorings; Greenwich,Hospital stays for self harm,29.8
E05000229,Woolwich Common; Greenwich,Hospital stays for self harm,45.3
E05000230,Woolwich Riverside; Greenwich,Hospital stays for self harm,40.0
E05000250,Addison; Hammersmith and Fulham,Hospital stays for self harm,60.0
E05000251,Askew; Hammersmith and Fulham,Hospital stays for self harm,62.0
E05000252,Avonmore and Brook Green; Hammersmith and Fulham,Hospital stays for self harm,43.1
E05000253,College Park and Old Oak; Hammersmith and Fulham,Hospital stays for self harm,55.8
E05000254,Fulham Broadway; Hammersmith and Fulham,Hospital stays for self harm,59.1
E05000255,Fulham Reach; Hammersmith and Fulham,Hospital stays for self harm,39.2
E05000256,Hammersmith Broadway; Hammersmith and Fulham,Hospital stays for self harm,52.0
E05000257,Munster; Hammersmith and Fulham,Hospital stays for self harm,57.7
E05000258,North End; Hammersmith and Fulham,Hospital stays for self harm,40.8
E05000259,Palace Riverside; Hammersmith and Fulham,Hospital stays for self harm,29.1
E05000260,Parsons Green and Walham; Hammersmith and Fulham,Hospital stays for self harm,34.9
E05000261,Ravenscourt Park; Hammersmith and Fulham,Hospital stays for self harm,36.2
E05000262,Sands End; Hammersmith and Fulham,Hospital stays for self harm,36.4
E05000263,Shepherd's Bush Green; Hammersmith and Fulham,Hospital stays for self harm,99.8
E05000264,Town; Hammersmith and Fulham,Hospital stays for self harm,36.9
E05000265,Wormholt and White City; Hammersmith and Fulham,Hospital stays for self harm,50.7
E05000266,Alexandra; Haringey,Hospital stays for self harm,49.8
E05000267,Bounds Green; Haringey,Hospital stays for self harm,31.1
E05000268,Bruce Grove; Haringey,Hospital stays for self harm,42.4
E05000269,Crouch End; Haringey,Hospital stays for self harm,49.4
E05000270,Fortis Green; Haringey,Hospital stays for self harm,52.0
E05000271,Harringay; Haringey,Hospital stays for self harm,51.0
E05000272,Highgate; Haringey,Hospital stays for self harm,38.5
E05000273,Hornsey; Haringey,Hospital stays for self harm,53.8
E05000274,Muswell Hill; Haringey,Hospital stays for self harm,67.5
E05000275,Noel Park; Haringey,Hospital stays for self harm,49.1
E05000276,Northumberland Park; Haringey,Hospital stays for self harm,29.5
E05000277,St Ann's; Haringey,Hospital stays for self harm,38.6
E05000278,Seven Sisters; Haringey,Hospital stays for self harm,34.8
E05000279,Stroud Green; Haringey,Hospital stays for self harm,53.0
E05000280,Tottenham Green; Haringey,Hospital stays for self harm,41.9
E05000281,Tottenham Hale; Haringey,Hospital stays for self harm,27.9
E05000282,West Green; Haringey,Hospital stays for self harm,48.6
E05000283,White Hart Lane; Haringey,Hospital stays for self harm,34.5
E05000284,Woodside; Haringey,Hospital stays for self harm,56.5
E05000285,Belmont; Harrow,Hospital stays for self harm,25.6
E05000286,Canons; Harrow,Hospital stays for self harm,38.7
E05000287,Edgware; Harrow,Hospital stays for self harm,26.5
E05000288,Greenhill; Harrow,Hospital stays for self harm,54.8
E05000289,Harrow on the Hill; Harrow,Hospital stays for self harm,38.0
E05000290,Harrow Weald; Harrow,Hospital stays for self harm,50.2
E05000291,Hatch End; Harrow,Hospital stays for self harm,37.9
E05000292,Headstone North; Harrow,Hospital stays for self harm,30.6
E05000293,Headstone South; Harrow,Hospital stays for self harm,36.9
E05000294,Kenton East; Harrow,Hospital stays for self harm,38.1
E05000295,Kenton West; Harrow,Hospital stays for self harm,25.8
E05000296,Marlborough; Harrow,Hospital stays for self harm,43.7
E05000297,Pinner; Harrow,Hospital stays for self harm,53.9
E05000298,Pinner South; Harrow,Hospital stays for self harm,26.7
E05000299,Queensbury; Harrow,Hospital stays for self harm,16.0
E05000300,Rayners Lane; Harrow,Hospital stays for self harm,37.1
E05000301,Roxbourne; Harrow,Hospital stays for self harm,46.6
E05000302,Roxeth; Harrow,Hospital stays for self harm,37.4
E05000303,Stanmore Park; Harrow,Hospital stays for self harm,51.6
E05000304,Wealdstone; Harrow,Hospital stays for self harm,38.1
E05000305,West Harrow; Harrow,Hospital stays for self harm,53.3
E05000306,Brooklands; Havering,Hospital stays for self harm,80.6
E05000307,Cranham; Havering,Hospital stays for self harm,28.1
E05000308,Elm Park; Havering,Hospital stays for self harm,50.3
E05000309,Emerson Park; Havering,Hospital stays for self harm,33.6
E05000310,Gooshays; Havering,Hospital stays for self harm,81.6
E05000311,Hacton; Havering,Hospital stays for self harm,35.3
E05000312,Harold Wood; Havering,Hospital stays for self harm,65.3
E05000313,Havering Park; Havering,Hospital stays for self harm,62.4
E05000314,Heaton; Havering,Hospital stays for self harm,68.6
E05000315,Hylands; Havering,Hospital stays for self harm,52.0
E05000316,Mawneys; Havering,Hospital stays for self harm,52.1
E05000317,Pettits; Havering,Hospital stays for self harm,42.6
E05000318,Rainham and Wennington; Havering,Hospital stays for self harm,50.4
E05000319,Romford Town; Havering,Hospital stays for self harm,69.1
E05000320,St Andrew's; Havering,Hospital stays for self harm,27.7
E05000321,South Hornchurch; Havering,Hospital stays for self harm,60.9
E05000322,Squirrel's Heath; Havering,Hospital stays for self harm,45.5
E05000323,Upminster; Havering,Hospital stays for self harm,29.8
E05000324,Barnhill; Hillingdon,Hospital stays for self harm,62.0
E05000325,Botwell; Hillingdon,Hospital stays for self harm,89.3
E05000326,Brunel; Hillingdon,Hospital stays for self harm,79.5
E05000327,Cavendish; Hillingdon,Hospital stays for self harm,51.8
E05000328,Charville; Hillingdon,Hospital stays for self harm,77.2
E05000329,Eastcote and East Ruislip; Hillingdon,Hospital stays for self harm,47.8
E05000330,Harefield; Hillingdon,Hospital stays for self harm,70.8
E05000331,Heathrow Villages; Hillingdon,Hospital stays for self harm,86.5
E05000332,Hillingdon East; Hillingdon,Hospital stays for self harm,75.6
E05000333,Ickenham; Hillingdon,Hospital stays for self harm,40.9
E05000334,Manor; Hillingdon,Hospital stays for self harm,52.6
E05000335,Northwood; Hillingdon,Hospital stays for self harm,61.9
E05000336,Northwood Hills; Hillingdon,Hospital stays for self harm,61.5
E05000337,Pinkwell; Hillingdon,Hospital stays for self harm,57.8
E05000338,South Ruislip; Hillingdon,Hospital stays for self harm,49.2
E05000339,Townfield; Hillingdon,Hospital stays for self harm,65.2
E05000340,Uxbridge North; Hillingdon,Hospital stays for self harm,56.9
E05000341,Uxbridge South; Hillingdon,Hospital stays for self harm,63.5
E05000342,West Drayton; Hillingdon,Hospital stays for self harm,72.6
E05000343,West Ruislip; Hillingdon,Hospital stays for self harm,49.8
E05000344,Yeading; Hillingdon,Hospital stays for self harm,73.2
E05000345,Yiewsley; Hillingdon,Hospital stays for self harm,83.5
E05000346,Bedfont; Hounslow,Hospital stays for self harm,78.4
E05000347,Brentford; Hounslow,Hospital stays for self harm,77.4
E05000348,Chiswick Homefields; Hounslow,Hospital stays for self harm,75.0
E05000349,Chiswick Riverside; Hounslow,Hospital stays for self harm,62.4
E05000350,Cranford; Hounslow,Hospital stays for self harm,63.8
E05000351,Feltham North; Hounslow,Hospital stays for self harm,78.6
E05000352,Feltham West; Hounslow,Hospital stays for self harm,66.6
E05000353,Hanworth; Hounslow,Hospital stays for self harm,92.1
E05000354,Hanworth Park; Hounslow,Hospital stays for self harm,83.1
E05000355,Heston Central; Hounslow,Hospital stays for self harm,52.9
E05000356,Heston East; Hounslow,Hospital stays for self harm,53.0
E05000357,Heston West; Hounslow,Hospital stays for self harm,59.7
E05000358,Hounslow Central; Hounslow,Hospital stays for self harm,70.5
E05000359,Hounslow Heath; Hounslow,Hospital stays for self harm,56.9
E05000360,Hounslow South; Hounslow,Hospital stays for self harm,68.6
E05000361,Hounslow West; Hounslow,Hospital stays for self harm,60.9
E05000362,Isleworth; Hounslow,Hospital stays for self harm,112.8
E05000363,Osterley and Spring Grove; Hounslow,Hospital stays for self harm,48.0
E05000364,Syon; Hounslow,Hospital stays for self harm,91.0
E05000365,Turnham Green; Hounslow,Hospital stays for self harm,47.3
E05000366,Barnsbury; Islington,Hospital stays for self harm,47.6
E05000367,Bunhill; Islington,Hospital stays for self harm,33.6
E05000368,Caledonian; Islington,Hospital stays for self harm,62.1
E05000369,Canonbury; Islington,Hospital stays for self harm,53.4
E05000370,Clerkenwell; Islington,Hospital stays for self harm,36.4
E05000371,Finsbury Park; Islington,Hospital stays for self harm,77.6
E05000372,Highbury East; Islington,Hospital stays for self harm,57.5
E05000373,Highbury West; Islington,Hospital stays for self harm,52.0
E05000374,Hillrise; Islington,Hospital stays for self harm,85.3
E05000375,Holloway; Islington,Hospital stays for self harm,63.1
E05000376,Junction; Islington,Hospital stays for self harm,62.5
E05000377,Mildmay; Islington,Hospital stays for self harm,49.1
E05000378,St George's; Islington,Hospital stays for self harm,75.0
E05000379,St Mary's; Islington,Hospital stays for self harm,47.9
E05000380,St Peter's; Islington,Hospital stays for self harm,66.7
E05000381,Tollington; Islington,Hospital stays for self harm,94.6
E05000400,Alexandra; Kingston upon Thames,Hospital stays for self harm,30.9
E05000401,Berrylands; Kingston upon Thames,Hospital stays for self harm,31.1
E05000402,Beverley; Kingston upon Thames,Hospital stays for self harm,31.4
E05000403,Canbury; Kingston upon Thames,Hospital stays for self harm,34.9
E05000404,Chessington North and Hook; Kingston upon Thames,Hospital stays for self harm,47.4
E05000405,Chessington South; Kingston upon Thames,Hospital stays for self harm,60.8
E05000406,Coombe Hill; Kingston upon Thames,Hospital stays for self harm,24.9
E05000407,Coombe Vale; Kingston upon Thames,Hospital stays for self harm,34.4
E05000408,Grove; Kingston upon Thames,Hospital stays for self harm,36.6
E05000409,Norbiton; Kingston upon Thames,Hospital stays for self harm,42.2
E05000410,Old Malden; Kingston upon Thames,Hospital stays for self harm,36.2
E05000411,St James; Kingston upon Thames,Hospital stays for self harm,33.1
E05000412,St Mark's; Kingston upon Thames,Hospital stays for self harm,34.6
E05000413,Surbiton Hill; Kingston upon Thames,Hospital stays for self harm,47.8
E05000414,Tolworth and Hook Rise; Kingston upon Thames,Hospital stays for self harm,42.1
E05000415,Tudor; Kingston upon Thames,Hospital stays for self harm,36.5
E05000416,Bishop's; Lambeth,Hospital stays for self harm,64.0
E05000417,Brixton Hill; Lambeth,Hospital stays for self harm,27.4
E05000418,Clapham Common; Lambeth,Hospital stays for self harm,23.8
E05000419,Clapham Town; Lambeth,Hospital stays for self harm,27.2
E05000420,Coldharbour; Lambeth,Hospital stays for self harm,34.0
E05000421,Ferndale; Lambeth,Hospital stays for self harm,27.2
E05000422,Gipsy Hill; Lambeth,Hospital stays for self harm,65.1
E05000423,Herne Hill; Lambeth,Hospital stays for self harm,34.8
E05000424,Knight's Hill; Lambeth,Hospital stays for self harm,46.9
E05000425,Larkhall; Lambeth,Hospital stays for self harm,34.8
E05000426,Oval; Lambeth,Hospital stays for self harm,40.2
E05000427,Prince's; Lambeth,Hospital stays for self harm,52.7
E05000428,St Leonard's; Lambeth,Hospital stays for self harm,38.9
E05000429,Stockwell; Lambeth,Hospital stays for self harm,42.2
E05000430,Streatham Hill; Lambeth,Hospital stays for self harm,31.8
E05000431,Streatham South; Lambeth,Hospital stays for self harm,38.9
E05000432,Streatham Wells; Lambeth,Hospital stays for self harm,33.1
E05000433,Thornton; Lambeth,Hospital stays for self harm,40.2
E05000434,Thurlow Park; Lambeth,Hospital stays for self harm,43.7
E05000435,Tulse Hill; Lambeth,Hospital stays for self harm,36.8
E05000436,Vassall; Lambeth,Hospital stays for self harm,47.1
E05000437,Bellingham; Lewisham,Hospital stays for self harm,82.2
E05000438,Blackheath; Lewisham,Hospital stays for self harm,41.9
E05000439,Brockley; Lewisham,Hospital stays for self harm,46.7
E05000440,Catford South; Lewisham,Hospital stays for self harm,55.3
E05000441,Crofton Park; Lewisham,Hospital stays for self harm,50.5
E05000442,Downham; Lewisham,Hospital stays for self harm,78.7
E05000443,Evelyn; Lewisham,Hospital stays for self harm,42.9
E05000444,Forest Hill; Lewisham,Hospital stays for self harm,45.3
E05000445,Grove Park; Lewisham,Hospital stays for self harm,59.7
E05000446,Ladywell; Lewisham,Hospital stays for self harm,60.0
E05000447,Lee Green; Lewisham,Hospital stays for self harm,49.9
E05000448,Lewisham Central; Lewisham,Hospital stays for self harm,70.2
E05000449,New Cross; Lewisham,Hospital stays for self harm,42.6
E05000450,Perry Vale; Lewisham,Hospital stays for self harm,42.8
E05000451,Rushey Green; Lewisham,Hospital stays for self harm,75.7
E05000452,Sydenham; Lewisham,Hospital stays for self harm,53.8
E05000453,Telegraph Hill; Lewisham,Hospital stays for self harm,40.5
E05000454,Whitefoot; Lewisham,Hospital stays for self harm,49.0
E05000455,Abbey; Merton,Hospital stays for self harm,36.0
E05000456,Cannon Hill; Merton,Hospital stays for self harm,44.3
E05000457,Colliers Wood; Merton,Hospital stays for self harm,37.4
E05000458,Cricket Green; Merton,Hospital stays for self harm,72.9
E05000459,Dundonald; Merton,Hospital stays for self harm,32.0
E05000460,Figge's Marsh; Merton,Hospital stays for self harm,48.7
E05000461,Graveney; Merton,Hospital stays for self harm,35.5
